Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion),Steps (average per min)
2018-03-09T18:00:00.000Z,4,114,6840,0.052423583397952216,0,1,0.8166666666666667,0.1,0.08333333333333333,0,20.133333333333333
2018-03-09T19:00:00.000Z,4,115,6900,0.03962889973384639,0,1,0.9166666666666666,0.06666666666666667,0.016666666666666666,0,13.333333333333334
2018-03-09T20:00:00.000Z,4,116,6960,0.013004216633271426,0,1,1,0,0,0,3.0166666666666666
2018-03-09T21:00:00.000Z,4,117,7020,0.024796983448322863,0.1774193548387097,1,0.9333333333333332,0,0.06666666666666667,0,8.6
2018-03-09T22:00:00.000Z,4,118,7080,0.038301166729070246,0,1,0.9,0.1,0,0,13.366666666666667
2018-03-09T23:00:00.000Z,4,119,7140,0.005404000011427949,0.7666666666666667,0.5,1,0,0,0,0.7
2018-03-10T00:00:00.000Z,5,120,7200,0.003956533324283858,1,0,1,0,0,0,0
2018-03-10T01:00:00.000Z,5,121,7260,0.003908233348435412,1,0,1,0,0,0,0
2018-03-10T02:00:00.000Z,5,122,7320,0.003899899990453074,1,0,1,0,0,0,0
2018-03-10T03:00:00.000Z,5,123,7380,0.003893283327730994,1,0.5,1,0,0,0,0
2018-03-10T04:00:00.000Z,5,124,7440,0.003862416670502474,1,0,1,0,0,0,0
2018-03-10T05:00:00.000Z,5,125,7500,0.003860083338804543,1,0,1,0,0,0,0
2018-03-10T06:00:00.000Z,5,126,7560,0.030527833216668417,0.5901639344262295,0.5,0.85,0.11666666666666668,0.03333333333333333,0,11.083333333333334
2018-03-10T07:00:00.000Z,5,127,7620,0.02451838308091586,0.4677419354838709,0.5,0.9166666666666666,0.06666666666666667,0.016666666666666666,0,9.233333333333333
2018-03-10T08:00:00.000Z,5,128,7680,0.0010650833350761483,1,0.5,1,0,0,0,0
2018-03-10T09:00:00.000Z,5,129,7740,0.0035037000100904456,0.6935483870967742,1,1,0,0,0,0.13333333333333333
2018-03-10T10:00:00.000Z,5,130,7800,0.017989700039227802,0.6065573770491803,1,0.9333333333333332,0.06666666666666667,0,0,6.166666666666667
2018-03-10T11:00:00.000Z,5,131,7860,0.007550933347859731,0,1,1,0,0,0,1.6166666666666667
2018-03-10T12:00:00.000Z,5,132,7920,0.00714328332299677,0.29508196721311475,1,1,0,0,0,1.35
2018-03-10T13:00:00.000Z,5,133,7980,0.07774828324715297,0,1,0.4666666666666667,0.3333333333333333,0.2,0,33.63333333333333
2018-03-10T14:00:00.000Z,5,134,8040,0.06284343337950607,0,1,0.6,0.2,0.2,0,23.216666666666665
2018-03-10T15:00:00.000Z,5,135,8100,0.04051853331038728,0,1,0.85,0.13333333333333333,0.016666666666666666,0,11.216666666666669
2018-03-10T16:00:00.000Z,5,136,8160,0.11423598332330584,0,1,0.55,0.08333333333333333,0.3666666666666666,0,48.766666666666666
2018-03-10T17:00:00.000Z,5,137,8220,0.09988746748228249,0,1,0.5833333333333334,0.016666666666666666,0.4,0,44.16666666666666
2018-03-10T18:00:00.000Z,5,138,8280,0.13077938286587595,0,1,0.3333333333333333,0.13333333333333333,0.5333333333333333,0,63.266666666666666
2018-03-10T19:00:00.000Z,5,139,8340,0.08846078334997097,0,1,0.6333333333333333,0.15,0.21666666666666667,0,37.86666666666667
2018-03-10T20:00:00.000Z,5,140,8400,0.04382706640753895,0,1,0.9333333333333332,0.06666666666666667,0,0,17.733333333333334
2018-03-10T21:00:00.000Z,5,141,8460,0.01977145007501046,0,1,0.9833333333333332,0.016666666666666666,0,0,6.6
2018-03-10T22:00:00.000Z,5,142,8520,0.006800049991579726,0.22950819672131148,1,1,0,0,0,1.15
2018-03-10T23:00:00.000Z,5,143,8580,0.03387258325819857,0,1,0.8,0.16666666666666666,0.03333333333333333,0,12.966666666666669
2018-03-11T00:00:00.000Z,6,144,8640,0.0011470166587969287,0,0.5,1,0,0,0,0.016666666666666666
2018-03-11T01:00:00.000Z,6,145,8700,0.0012300166650675236,0,0,1,0,0,0,0
2018-03-11T02:00:00.000Z,6,146,8760,0.0011286000022664663,0,0,1,0,0,0,0
2018-03-11T03:00:00.000Z,6,147,8820,0.0010936333380717163,0,0,1,0,0,0,0
2018-03-11T04:00:00.000Z,6,148,8880,0.0010837833397090435,0,0,1,0,0,0,0
