hourinweek,Female Mean Activity (g),Male Mean Activity (g),Female Asleep (proportion),Male Asleep (proportion),Female Steps (average per min),Male Steps (average per min),Female Sedentary Activity (proportion),Male Sedentary Activity (proportion),Female Light Activity (proportion),Male Light Activity (proportion),Female Moderate Activity (proportion),Male Moderate Activity (proportion),Female Vigorous Activity (proportion),Male Vigorous Activity (proportion)
68,0.04079791848519832,0.03971195292707256,0.19467181498140185,0.20859634535526075,12.246303501945524,11.071080368906456,0.8454604409857326,0.8608036890645584,0.05622568093385207,0.05171277997364957,0.09182879377431905,0.08069828722002638,0.006485084306095973,0.006785243741765479
69,0.034936126766236905,0.03699870410272243,0.20924296481546184,0.2235489449451757,10.463002594033725,9.889393939393944,0.8693904020752268,0.8684453227931492,0.05087548638132291,0.04795783926218712,0.07639429312581066,0.07944664031620555,0.0033398184176394274,0.0041501976284585
70,0.029309241706951657,0.03438624957977498,0.24307027650562396,0.2717590841773047,8.607036316472112,8.833926218708829,0.889818417639429,0.8787220026350464,0.04526588845654991,0.04565217391304348,0.0633592736705577,0.07351778656126484,0.0015564202334630336,0.002108036890645587
71,0.022076464773478428,0.02647119164474089,0.3401032192449492,0.3322907242788217,6.362094682230867,6.921607378129118,0.9204280155642016,0.9117918313570486,0.030739299610894923,0.032608695652173926,0.04747081712062254,0.0542160737812912,0.0013618677042801551,0.0013833992094861665
72,0.01503285363004226,0.01738386156745908,0.4289123019210092,0.4147612599495212,4.130869001297018,4.497957839262188,0.9485732814526584,0.9443346508563908,0.018612191958495457,0.018577075098814223,0.03197146562905317,0.03642951251646904,0.0008430609597924773,0.0006587615283267455
73,0.008465116667080929,0.011834434188395047,0.5241548321643775,0.487827971712744,1.926199740596628,2.802569169960476,0.9779507133592732,0.9671277997364944,0.009143968871595326,0.01185770750988142,0.012418936446173787,0.02055335968379445,0.0004863813229571985,0.0004611330698287218
74,0.005863386757731643,0.008149800724395114,0.5537484938927576,0.5229812757715743,1.1346952010376132,1.7701581027667987,0.9885214007782098,0.9803030303030298,0.004409857328145265,0.008827404479578388,0.006971465629053173,0.010671936758893276,0.0000972762645914397,0.0001976284584980237
75,0.004947732535768574,0.005924006247946335,0.5521212320304804,0.5563051885632522,0.8909857328145265,1.0740447957839263,0.99254215304799,0.9889986824769428,0.002529182879377431,0.005270092226613966,0.004863813229571982,0.005665349143610014,0.00006485084306095979,0.00006587615283267457
76,0.004187747646886456,0.005006109452954576,0.5291435028709764,0.5631506936317059,0.5493190661478599,0.7943346508563901,0.996595330739299,0.9940052700922262,0.001718547341115433,0.0028985507246376816,0.001686121919584955,0.0030961791831357064,0,0
77,0.006979046765274346,0.006391734965783224,0.5132461341487499,0.5580993224823747,1.450421530479896,1.2397233201581026,0.9816147859922176,0.9859025032938064,0.007101167315175099,0.005599472990777339,0.011251621271076524,0.008432147562582346,0.000032425421530479896,0.00006587615283267457
